Ticker,Sector,MarketCap
TATACONSUM.NS,Consumer,Large Cap
EICHERMOT.NS,Auto,Large Cap
M&M.NS,Auto,Large Cap
BIOCON.NS,Pharma,Large Cap
WIPRO.NS,IT,Large Cap
DRREDDY.NS,Pharma,Large Cap
TITAN.NS,Consumer,Large Cap
APOLLOHOSP.NS,Pharma,Large Cap
JSWSTEEL.NS,Infrastructure,Large Cap
KOTAKBANK.NS,Banking,Large Cap
BHARTIARTL.NS,Telecom,Large Cap
LT.NS,Infrastructure,Large Cap
JUBLFOOD.NS,FMCG,Large Cap
BAJAJ-AUTO.NS,Auto,Large Cap
HEROMOTOCO.NS,Auto,Large Cap
SHREECEM.NS,Cement,Large Cap
MARUTI.NS,Auto,Large Cap
ONGC.NS,Energy,Large Cap
GRASIM.NS,Consumer,Large Cap
TATAMOTORS.NS,Auto,Large Cap
TVSMOTOR.NS,Auto,Large Cap
OIL.NS,Energy,Large Cap
KEI.NS,Metals,Large Cap
MARICO.NS,FMCG,Large Cap
BOSCHLTD.NS,Manufacturing,Large Cap
SONACOMS.NS,Telecom,Large Cap
UNITDSPR.NS,FMCG,Large Cap
ITC.NS,FMCG,Large Cap
HDFCBANK.NS,Banking,Large Cap
ETERNAL.NS,FMCG,Large Cap
COLPAL.NS,FMCG,Large Cap
NAUKRI.NS,IT,Large Cap
RELIANCE.NS,Energy,Large Cap
MUTHOOTFIN.NS,Banking,Large Cap
ICICIBANK.NS,Banking,Large Cap
PIDILITIND.NS,TBF,TBF
SUNPHARMA.NS,TBF,TBF
HINDUNILVR.NS,TBF,TBF
ABCAPITAL.NS,TBF,TBF
MANAPPURAM.NS,TBF,TBF
ICICIGI.NS,TBF,TBF
SBILIFE.NS,TBF,TBF
ULTRACEMCO.NS,TBF,TBF
POWERGRID.NS,TBF,TBF
HCLTECH.NS,TBF,TBF
AXISBANK.NS,TBF,TBF
TRENT.NS,TBF,TBF
ALKEM.NS,TBF,TBF
INDIGO.NS,TBF,TBF
PAGEIND.NS,TBF,TBF
GODREJCP.NS,TBF,TBF
ASIANPAINT.NS,TBF,TBF
DALBHARAT.NS,TBF,TBF
AUBANK.NS,TBF,TBF
PIIND.NS,TBF,TBF
MFSL.NS,TBF,TBF
JINDALSTEL.NS,TBF,TBF
ACC.NS,TBF,TBF
BRITANNIA.NS,TBF,TBF
BEL.NS,TBF,TBF
OBEROIRLTY.NS,TBF,TBF
ASHOKLEY.NS,TBF,TBF
EXIDEIND.NS,TBF,TBF
HDFCLIFE.NS,TBF,TBF
PPLPHARMA.NS,TBF,TBF
LTF.NS,TBF,TBF
INDUSTOWER.NS,TBF,TBF
CHAMBLFERT.NS,TBF,TBF
HINDALCO.NS,TBF,TBF
TCS.NS,TBF,TBF
ZYDUSLIFE.NS,TBF,TBF
INFY.NS,TBF,TBF
LICI.NS,TBF,TBF
HINDPETRO.NS,TBF,TBF
HAVELLS.NS,TBF,TBF
DMART.NS,TBF,TBF
DLF.NS,TBF,TBF
